nodes Cols       sent    Processed    Received     Throughput       OverallEnergy                DER        ExperimentNumer         SendDuration
700      796     16584      16132      15336       42.6             622.1082693120005      0.9247467438494935      5      300000


800      18743   19029      18605      285         0.7916666666     4300.571049983995    0.014977140154501025      0      300000
800      1191    19224      19224      18033       50.091666666     931.1368450559991      0.9380461922596754      8      300000
800      1089    19075      18634      17545       48.73611114      719.208972287999      0.9197903014416776      5      300000


900      21396   21590      20745      187         0.519444445      4879.3593446399955   0.008661417322834646      0      300000
900      921     21424      21423      20502       56.95            889.8527278079998      0.9569641523525019      6      300000
900      1339    21700      21181      19842   55.11666666666667      795.813887807999      0.9143778801843317      5      300000


1100      26393  26477      24158      79       0.21944444444444     5983.825723391995      0.002983721720738754      0      300000
1100      1367   26383      26383      25016   69.4888888888889      1041.428990975998      0.9481863321077967      6      300000
1100      1721   26487      26484      24763   68.78611111111111      1158.0738470399976      0.9349114660021898      8      300000
1100      1807   26612      26003      24196   67.21111111111111      919.865811071999      0.9092138884713663      5      300000


1300      31055  31076      26632      16      0.0444444444444446      7023.203844095979      0.0005148667782211353      0      300000
1300      2225   31069      31069      28844   80.12222222222222      1349.9012820480013      0.9283852071196369      6      300000
1300      2768   31118      31118      28350   78.75                  1538.351468544      0.9110482678835401      8      300000
1300      2581   31199      30412      27831   77.30833333333334      1187.2789461119983      0.8920478220455784      5      300000


1500      36160  36177      28760      8       0.022222222222223      8176.034414591963      0.00022113497526052466      0      300000
1500      2595   35823      35822      33227   92.29722222222222      1472.4172531200022      0.9275325907936242      6      300000
1500      3361   35910      35905      32546   90.40555555555555      1658.6146621440012      0.9063213589529379      8      300000
1500      3477   36188      35514      32037   88.99166666666666      1277.6115592319973      0.8852934674477727      5      300000
1700      9247      40878      40826            31630   87.86111111111111      2292.219990719998      0.773765839816038      5      300000
1700      6464      40529      40444            34064   94.62222222222222      2627.536099584006      0.8404845912803178      6      300000
1700      7536      40809      40709            33271   92.41944444444445      2783.9380631040017      0.8152858438089637      8      300000
1800      9788      43136      43032            33346   92.62777777777778      2440.6622903039993      0.7730433976261127      5      300000
1800      7618      43027      42918            35404   98.34444444444445      2814.7715397120037      0.8228321751458386      6      300000
1800      8934      43116      42945            34179   94.94166666666666      3053.614468607992      0.7927219593654328      8      300000
2000      11874      48116      47947            36238   100.66111111111111      2695.8961870079956      0.753138249231025      5      300000
2000      8733      48125      47918            39390   109.41666666666667      3084.951167232011      0.8184935064935065      6      300000
2000      9735      47921      47635            38182   106.06111111111112      3241.344927743997      0.7967696834373239      8      300000
10      11      238      238            227   0.6305555555555555      53.788213248      0.9537815126050421      0      300000
50      11      1153      1153            1142   3.172222222222222      11.88346368      0.9904596704249783      0      300000
100      62      2395      2395            2333   6.480555555555555      24.684211200000007      0.9741127348643006      0      300000
200      230      4854      4854            4624   12.844444444444445      50.02804224000001      0.9526163988463123      0      300000
300      500      7143      7143            6643   18.45277777777778      73.61975807999998      0.9300013999720006      0      300000
400      879      9477      9476            8597   23.880555555555556      97.67526912000001      0.9071436108473145      0      300000
500      1433      12085      12085            10652   29.58888888888889      124.5547775999999      0.8814232519652462      0      300000
600      1999      14275      14275            12276   34.1      147.1261439999999      0.8599649737302977      0      300000
700      2751      17012      17011            14260   39.611111111111114      175.33519871999974      0.8382318363508112      0      300000
800      3530      19226      19226            15696   43.6      198.15392255999976      0.8163944658275252      0      300000
900      4381      21652      21651            17270   47.97222222222222      223.1576371199998      0.797616848328099      0      300000
